release_kind,release_date
CPI,2012-04-13
ISM,2012-05-01
NFP,2012-05-04
CPI,2012-05-15
ISM,2012-06-01
NFP,2012-06-01
CPI,2012-06-14
ISM,2012-07-02
NFP,2012-07-06
CPI,2012-07-17
ISM,2012-08-01
NFP,2012-08-03
CPI,2012-08-15
ISM,2012-09-04
NFP,2012-09-07
CPI,2012-09-14
ISM,2012-10-01
NFP,2012-10-05
CPI,2012-10-16
ISM,2012-11-01
NFP,2012-11-02
CPI,2012-11-15
ISM,2012-12-03
NFP,2012-12-07
CPI,2012-12-14
ISM,2013-01-02
NFP,2013-01-04
CPI,2013-01-16
ISM,2013-02-01
NFP,2013-02-01
CPI,2013-02-21
ISM,2013-03-01
NFP,2013-03-01
CPI,2013-03-15
ISM,2013-04-01
NFP,2013-04-05
CPI,2013-04-16
ISM,2013-05-01
NFP,2013-05-03
CPI,2013-05-16
ISM,2013-06-03
NFP,2013-06-07
CPI,2013-06-18
ISM,2013-07-01
NFP,2013-07-05
CPI,2013-07-16
ISM,2013-08-01
NFP,2013-08-02
CPI,2013-08-15
ISM,2013-09-03
NFP,2013-09-06
CPI,2013-09-17
ISM,2013-10-01
NFP,2013-10-04
CPI,2013-10-30
ISM,2013-11-01
NFP,2013-11-01
CPI,2013-11-20
ISM,2013-12-02
NFP,2013-12-06
CPI,2013-12-17
ISM,2014-01-02
NFP,2014-01-03
CPI,2014-01-16
ISM,2014-02-03
NFP,2014-02-07
CPI,2014-02-20
ISM,2014-03-03
NFP,2014-03-07
CPI,2014-03-18
ISM,2014-04-01
NFP,2014-04-04
CPI,2014-04-15
ISM,2014-05-01
NFP,2014-05-02
CPI,2014-05-15
ISM,2014-06-02
NFP,2014-06-06
CPI,2014-06-17
ISM,2014-07-01
NFP,2014-07-07
CPI,2014-07-22
ISM,2014-08-01
NFP,2014-08-01
CPI,2014-08-19
ISM,2014-09-02
NFP,2014-09-05
CPI,2014-09-17
ISM,2014-10-01
NFP,2014-10-03
CPI,2014-10-22
ISM,2014-11-03
NFP,2014-11-07
CPI,2014-11-20
ISM,2014-12-01
NFP,2014-12-05
CPI,2014-12-17
ISM,2015-01-02
NFP,2015-01-02
CPI,2015-01-16
ISM,2015-02-02
NFP,2015-02-06
CPI,2015-02-26
ISM,2015-03-02
NFP,2015-03-06
CPI,2015-03-24
ISM,2015-04-01
NFP,2015-04-03
CPI,2015-04-17
ISM,2015-05-01
NFP,2015-05-01
CPI,2015-05-22
ISM,2015-06-01
NFP,2015-06-05
CPI,2015-06-18
ISM,2015-07-01
NFP,2015-07-06
CPI,2015-07-17
ISM,2015-08-03
NFP,2015-08-07
CPI,2015-08-19
ISM,2015-09-01
NFP,2015-09-04
CPI,2015-09-16
ISM,2015-10-01
NFP,2015-10-02
CPI,2015-10-15
ISM,2015-11-02
NFP,2015-11-06
CPI,2015-11-17
ISM,2015-12-01
NFP,2015-12-04
CPI,2015-12-15
ISM,2016-01-04
NFP,2016-01-04
CPI,2016-01-20
ISM,2016-02-01
NFP,2016-02-05
CPI,2016-02-19
ISM,2016-03-01
NFP,2016-03-04
CPI,2016-03-16
ISM,2016-04-01
NFP,2016-04-01
CPI,2016-04-14
ISM,2016-05-02
NFP,2016-05-06
CPI,2016-05-17
ISM,2016-06-01
NFP,2016-06-03
CPI,2016-06-16
ISM,2016-07-01
NFP,2016-07-01
CPI,2016-07-15
ISM,2016-08-01
NFP,2016-08-05
CPI,2016-08-16
ISM,2016-09-01
NFP,2016-09-02
CPI,2016-09-16
ISM,2016-10-03
NFP,2016-10-07
CPI,2016-10-18
ISM,2016-11-01
NFP,2016-11-04
CPI,2016-11-17
ISM,2016-12-01
NFP,2016-12-02
CPI,2016-12-15
ISM,2017-01-03
NFP,2017-01-06
CPI,2017-01-18
ISM,2017-02-01
NFP,2017-02-03
CPI,2017-02-15
ISM,2017-03-01
NFP,2017-03-03
CPI,2017-03-15
ISM,2017-04-03
NFP,2017-04-07
CPI,2017-04-14
ISM,2017-05-01
NFP,2017-05-05
CPI,2017-05-12
ISM,2017-06-01
NFP,2017-06-02
CPI,2017-06-14
ISM,2017-07-03
NFP,2017-07-07
CPI,2017-07-14
ISM,2017-08-01
NFP,2017-08-04
CPI,2017-08-11
ISM,2017-09-01
NFP,2017-09-01
CPI,2017-09-14
ISM,2017-10-02
NFP,2017-10-06
CPI,2017-10-13
ISM,2017-11-01
NFP,2017-11-03
CPI,2017-11-15
ISM,2017-12-01
NFP,2017-12-01
CPI,2017-12-13
ISM,2018-01-02
NFP,2018-01-05
CPI,2018-01-12
ISM,2018-02-01
NFP,2018-02-02
CPI,2018-02-14
ISM,2018-03-01
NFP,2018-03-02
CPI,2018-03-13
ISM,2018-04-02
NFP,2018-04-06
CPI,2018-04-11
ISM,2018-05-01
NFP,2018-05-04
CPI,2018-05-10
ISM,2018-06-01
NFP,2018-06-01
CPI,2018-06-12
ISM,2018-07-02
NFP,2018-07-06
CPI,2018-07-12
ISM,2018-08-01
NFP,2018-08-03
CPI,2018-08-10
ISM,2018-09-04
NFP,2018-09-07
CPI,2018-09-13
ISM,2018-10-01
NFP,2018-10-05
CPI,2018-10-11
ISM,2018-11-01
NFP,2018-11-02
CPI,2018-11-14
ISM,2018-12-03
NFP,2018-12-07
CPI,2018-12-12
ISM,2019-01-02
NFP,2019-01-04
CPI,2019-01-11
ISM,2019-02-01
NFP,2019-02-01
CPI,2019-02-13
ISM,2019-03-01
NFP,2019-03-01
CPI,2019-03-12
ISM,2019-04-01
NFP,2019-04-05
CPI,2019-04-10
ISM,2019-05-01
NFP,2019-05-03
CPI,2019-05-10
ISM,2019-06-03
NFP,2019-06-07
CPI,2019-06-12
ISM,2019-07-01
NFP,2019-07-05
CPI,2019-07-11
ISM,2019-08-01
NFP,2019-08-02
CPI,2019-08-13
ISM,2019-09-03
NFP,2019-09-06
CPI,2019-09-12
ISM,2019-10-01
NFP,2019-10-04
CPI,2019-10-10
ISM,2019-11-01
NFP,2019-11-01
CPI,2019-11-13
ISM,2019-12-02
NFP,2019-12-06
CPI,2019-12-11
ISM,2020-01-02
NFP,2020-01-03
CPI,2020-01-14
ISM,2020-02-03
NFP,2020-02-07
CPI,2020-02-13
ISM,2020-03-02
NFP,2020-03-06
CPI,2020-03-11
ISM,2020-04-01
NFP,2020-04-03
CPI,2020-04-10
ISM,2020-05-01
NFP,2020-05-01
CPI,2020-05-12
ISM,2020-06-01
NFP,2020-06-05
CPI,2020-06-10
ISM,2020-07-01
NFP,2020-07-06
CPI,2020-07-14
ISM,2020-08-03
NFP,2020-08-07
CPI,2020-08-12
ISM,2020-09-01
NFP,2020-09-04
CPI,2020-09-11
ISM,2020-10-01
NFP,2020-10-02
CPI,2020-10-13
ISM,2020-11-02
NFP,2020-11-06
CPI,2020-11-12
ISM,2020-12-01
NFP,2020-12-04
CPI,2020-12-10
ISM,2021-01-04
NFP,2021-01-04
CPI,2021-01-13
ISM,2021-02-01
NFP,2021-02-05
CPI,2021-02-10
ISM,2021-03-01
NFP,2021-03-05
CPI,2021-03-10
ISM,2021-04-01
NFP,2021-04-02
CPI,2021-04-13
ISM,2021-05-03
NFP,2021-05-07
CPI,2021-05-12
ISM,2021-06-01
NFP,2021-06-04
CPI,2021-06-10
ISM,2021-07-01
NFP,2021-07-02
CPI,2021-07-13
ISM,2021-08-02
NFP,2021-08-06
CPI,2021-08-11
ISM,2021-09-01
NFP,2021-09-03
CPI,2021-09-14
ISM,2021-10-01
NFP,2021-10-01
CPI,2021-10-13
ISM,2021-11-01
NFP,2021-11-05
CPI,2021-11-10
ISM,2021-12-01
NFP,2021-12-03
CPI,2021-12-10
ISM,2022-01-03
NFP,2022-01-07
CPI,2022-01-12
ISM,2022-02-01
NFP,2022-02-04
CPI,2022-02-10
ISM,2022-03-01
NFP,2022-03-04
CPI,2022-03-10
ISM,2022-04-01
NFP,2022-04-01
CPI,2022-04-12
ISM,2022-05-02
NFP,2022-05-06
CPI,2022-05-11
ISM,2022-06-01
NFP,2022-06-03
CPI,2022-06-10
ISM,2022-07-01
NFP,2022-07-01
CPI,2022-07-13
ISM,2022-08-01
NFP,2022-08-05
CPI,2022-08-10
ISM,2022-09-01
NFP,2022-09-02
CPI,2022-09-13
ISM,2022-10-03
NFP,2022-10-07
CPI,2022-10-13
ISM,2022-11-01
NFP,2022-11-04
CPI,2022-11-10
ISM,2022-12-01
NFP,2022-12-02
CPI,2022-12-13
ISM,2023-01-03
NFP,2023-01-06
CPI,2023-01-12
ISM,2023-02-01
NFP,2023-02-03
CPI,2023-02-14
ISM,2023-03-01
NFP,2023-03-03
CPI,2023-03-14
ISM,2023-04-03
NFP,2023-04-07
CPI,2023-04-12
ISM,2023-05-01
NFP,2023-05-05
CPI,2023-05-10
ISM,2023-06-01
NFP,2023-06-02
CPI,2023-06-13
ISM,2023-07-03
NFP,2023-07-07
CPI,2023-07-12
ISM,2023-08-01
NFP,2023-08-04
CPI,2023-08-10
ISM,2023-09-01
NFP,2023-09-01
CPI,2023-09-13
ISM,2023-10-02
NFP,2023-10-06
CPI,2023-10-12
ISM,2023-11-01
NFP,2023-11-03
CPI,2023-11-14
ISM,2023-12-01
NFP,2023-12-01
CPI,2023-12-12
ISM,2024-01-02
NFP,2024-01-05
CPI,2024-01-11
ISM,2024-02-01
NFP,2024-02-02
CPI,2024-02-13
ISM,2024-03-01
NFP,2024-03-01
CPI,2024-03-12
ISM,2024-04-01
NFP,2024-04-05
CPI,2024-04-10
ISM,2024-05-01
NFP,2024-05-03
CPI,2024-05-15
ISM,2024-06-03
NFP,2024-06-07
CPI,2024-06-12
ISM,2024-07-01
NFP,2024-07-05
CPI,2024-07-11
ISM,2024-08-01
NFP,2024-08-02
CPI,2024-08-14
ISM,2024-09-03
NFP,2024-09-06
CPI,2024-09-11
ISM,2024-10-01
NFP,2024-10-04
CPI,2024-10-10
ISM,2024-11-01
NFP,2024-11-01
CPI,2024-11-13
ISM,2024-12-02
NFP,2024-12-06
CPI,2024-12-11
ISM,2025-01-02
NFP,2025-01-03
CPI,2025-01-15
ISM,2025-02-03
NFP,2025-02-07
CPI,2025-02-12
ISM,2025-03-03
NFP,2025-03-07
CPI,2025-03-12
ISM,2025-04-01
NFP,2025-04-04
CPI,2025-04-10
ISM,2025-05-01
NFP,2025-05-02
CPI,2025-05-13
ISM,2025-06-02
NFP,2025-06-06
CPI,2025-06-11
ISM,2025-07-01
NFP,2025-07-07
CPI,2025-07-15
ISM,2025-08-01
NFP,2025-08-01
CPI,2025-08-12
ISM,2025-09-02
NFP,2025-09-05
CPI,2025-09-11
ISM,2025-10-01
NFP,2025-10-03
CPI,2025-10-15
ISM,2025-11-03
NFP,2025-11-07
CPI,2025-11-13
ISM,2025-12-01
NFP,2025-12-05
CPI,2025-12-10
ISM,2026-01-02
NFP,2026-01-02
CPI,2026-01-14
ISM,2026-02-02
NFP,2026-02-06
CPI,2026-02-11
ISM,2026-03-02
NFP,2026-03-06
CPI,2026-03-11
ISM,2026-04-01
NFP,2026-04-03
CPI,2026-04-14
ISM,2026-05-01
NFP,2026-05-01
CPI,2026-05-12
ISM,2026-06-01
NFP,2026-06-05
CPI,2026-06-10
ISM,2026-07-01
NFP,2026-07-06
CPI,2026-07-15
ISM,2026-08-03
NFP,2026-08-07
CPI,2026-08-12
ISM,2026-09-01
NFP,2026-09-04
CPI,2026-09-10
ISM,2026-10-01
NFP,2026-10-02
CPI,2026-10-15
ISM,2026-11-02
NFP,2026-11-06
CPI,2026-11-12
ISM,2026-12-01
NFP,2026-12-04
CPI,2026-12-10
